,N,d,Success,Matching Points
0,100,2,0.65,1
1,100,3,0.45,1
2,100,5,0.325,1
3,100,7,0.325,1
4,100,9,0.375,1
5,175,2,0.325,1
6,175,3,0.275,1
7,175,5,0.525,1
8,175,7,0.225,1
9,175,9,0.325,1
10,250,2,0.475,1
11,250,3,0.475,1
12,250,5,0.35,1
13,250,7,0.425,1
14,250,9,0.375,1
15,325,2,0.4,1
16,325,3,0.275,1
17,325,5,0.25,1
18,325,7,0.25,1
19,325,9,0.3,1
20,400,2,0.4,1
21,400,3,0.3,1
22,400,5,0.35,1
23,400,7,0.275,1
24,400,9,0.25,1
25,475,2,0.325,1
26,475,3,0.375,1
27,475,5,0.35,1
28,475,7,0.2,1
29,475,9,0.35,1
30,550,2,0.45,1
31,550,3,0.4,1
32,550,5,0.225,1
33,550,7,0.325,1
34,550,9,0.25,1
35,625,2,0.5,1
36,625,3,0.375,1
37,625,5,0.375,1
38,625,7,0.325,1
39,625,9,0.2,1
40,700,2,0.425,1
41,700,3,0.5,1
42,700,5,0.175,1
43,700,7,0.25,1
44,700,9,0.375,1
45,775,2,0.325,1
46,775,3,0.5,1
47,775,5,0.35,1
48,775,7,0.225,1
49,775,9,0.275,1
50,850,2,0.45,1
51,850,3,0.375,1
52,850,5,0.25,1
53,850,7,0.2,1
54,850,9,0.25,1
55,925,2,0.325,1
56,925,3,0.275,1
57,925,5,0.275,1
58,925,7,0.175,1
59,925,9,0.25,1
60,1000,2,0.475,1
61,1000,3,0.375,1
62,1000,5,0.2,1
63,1000,7,0.275,1
64,1000,9,0.25,1
65,1075,2,0.475,1
66,1075,3,0.425,1
67,1075,5,0.325,1
68,1075,7,0.35,1
69,1075,9,0.25,1
70,1150,2,0.45,1
71,1150,3,0.35,1
72,1150,5,0.275,1
73,1150,7,0.175,1
74,1150,9,0.15,1
75,1225,2,0.45,1
76,1225,3,0.375,1
77,1225,5,0.3,1
78,1225,7,0.225,1
79,1225,9,0.25,1
80,1300,2,0.45,1
81,1300,3,0.525,1
82,1300,5,0.35,1
83,1300,7,0.4,1
84,1300,9,0.275,1
85,1375,2,0.475,1
86,1375,3,0.4,1
87,1375,5,0.25,1
88,1375,7,0.325,1
89,1375,9,0.1,1
90,1450,2,0.45,1
91,1450,3,0.4,1
92,1450,5,0.275,1
93,1450,7,0.3,1
94,1450,9,0.25,1
95,1525,2,0.4,1
96,1525,3,0.375,1
97,1525,5,0.25,1
98,1525,7,0.25,1
99,1525,9,0.175,1
100,1600,2,0.525,1
101,1600,3,0.35,1
102,1600,5,0.175,1
103,1600,7,0.25,1
104,1600,9,0.3,1
105,1675,2,0.625,1
106,1675,3,0.425,1
107,1675,5,0.375,1
108,1675,7,0.15,1
109,1675,9,0.2,1
110,1750,2,0.575,1
111,1750,3,0.35,1
112,1750,5,0.275,1
113,1750,7,0.275,1
114,1750,9,0.2,1
115,1825,2,0.35,1
116,1825,3,0.425,1
117,1825,5,0.225,1
118,1825,7,0.275,1
119,1825,9,0.2,1
120,1900,2,0.425,1
121,1900,3,0.45,1
122,1900,5,0.2,1
123,1900,7,0.275,1
124,1900,9,0.225,1
125,1975,2,0.3,1
126,1975,3,0.25,1
127,1975,5,0.3,1
128,1975,7,0.2,1
129,1975,9,0.125,1
130,2050,2,0.525,1
131,2050,3,0.375,1
132,2050,5,0.375,1
133,2050,7,0.35,1
134,2050,9,0.275,1
135,2125,2,0.525,1
136,2125,3,0.3,1
137,2125,5,0.15,1
138,2125,7,0.225,1
139,2125,9,0.3,1
140,2200,2,0.35,1
141,2200,3,0.2,1
142,2200,5,0.25,1
143,2200,7,0.175,1
144,2200,9,0.2,1
145,2275,2,0.375,1
146,2275,3,0.3,1
147,2275,5,0.35,1
148,2275,7,0.2,1
149,2275,9,0.2,1
150,2350,2,0.425,1
151,2350,3,0.325,1
152,2350,5,0.225,1
153,2350,7,0.275,1
154,2350,9,0.25,1
155,2425,2,0.425,1
156,2425,3,0.25,1
157,2425,5,0.175,1
158,2425,7,0.2,1
159,2425,9,0.125,1
160,100,2,0.925,5
161,100,3,0.825,5
162,100,5,0.65,5
163,100,7,0.75,5
164,100,9,0.525,5
165,175,2,0.875,5
166,175,3,0.775,5
167,175,5,0.75,5
168,175,7,0.775,5
169,175,9,0.8,5
170,250,2,0.85,5
171,250,3,0.775,5
172,250,5,0.7,5
173,250,7,0.675,5
174,250,9,0.75,5
175,325,2,0.875,5
176,325,3,0.775,5
177,325,5,0.7,5
178,325,7,0.825,5
179,325,9,0.625,5
180,400,2,0.95,5
181,400,3,0.725,5
182,400,5,0.65,5
183,400,7,0.65,5
184,400,9,0.575,5
185,475,2,0.75,5
186,475,3,0.775,5
187,475,5,0.65,5
188,475,7,0.725,5
189,475,9,0.575,5
190,550,2,0.9,5
191,550,3,0.725,5
192,550,5,0.625,5
193,550,7,0.775,5
194,550,9,0.6,5
195,625,2,0.8,5
196,625,3,0.775,5
197,625,5,0.675,5
198,625,7,0.6,5
199,625,9,0.75,5
200,700,2,0.9,5
201,700,3,0.8,5
202,700,5,0.575,5
203,700,7,0.6,5
204,700,9,0.65,5
205,775,2,0.925,5
206,775,3,0.7,5
207,775,5,0.625,5
208,775,7,0.575,5
209,775,9,0.675,5
210,850,2,0.85,5
211,850,3,0.675,5
212,850,5,0.725,5
213,850,7,0.6,5
214,850,9,0.55,5
215,925,2,0.9,5
216,925,3,0.75,5
217,925,5,0.7,5
218,925,7,0.6,5
219,925,9,0.625,5
220,1000,2,0.85,5
221,1000,3,0.825,5
222,1000,5,0.65,5
223,1000,7,0.675,5
224,1000,9,0.5,5
225,1075,2,0.925,5
226,1075,3,0.725,5
227,1075,5,0.75,5
228,1075,7,0.625,5
229,1075,9,0.625,5
230,1150,2,0.875,5
231,1150,3,0.75,5
232,1150,5,0.675,5
233,1150,7,0.575,5
234,1150,9,0.625,5
235,1225,2,0.85,5
236,1225,3,0.75,5
237,1225,5,0.725,5
238,1225,7,0.725,5
239,1225,9,0.525,5
240,1300,2,0.925,5
241,1300,3,0.775,5
242,1300,5,0.7,5
243,1300,7,0.55,5
244,1300,9,0.575,5
245,1375,2,0.925,5
246,1375,3,0.775,5
247,1375,5,0.65,5
248,1375,7,0.65,5
249,1375,9,0.55,5
250,1450,2,0.8,5
251,1450,3,0.55,5
252,1450,5,0.625,5
253,1450,7,0.575,5
254,1450,9,0.45,5
255,1525,2,0.825,5
256,1525,3,0.7,5
257,1525,5,0.55,5
258,1525,7,0.675,5
259,1525,9,0.55,5
260,1600,2,0.725,5
261,1600,3,0.775,5
262,1600,5,0.725,5
263,1600,7,0.525,5
264,1600,9,0.6,5
265,1675,2,0.85,5
266,1675,3,0.725,5
267,1675,5,0.625,5
268,1675,7,0.725,5
269,1675,9,0.65,5
270,1750,2,0.875,5
271,1750,3,0.75,5
272,1750,5,0.625,5
273,1750,7,0.575,5
274,1750,9,0.625,5
275,1825,2,0.85,5
276,1825,3,0.8,5
277,1825,5,0.8,5
278,1825,7,0.65,5
279,1825,9,0.475,5
280,1900,2,0.8,5
281,1900,3,0.75,5
282,1900,5,0.625,5
283,1900,7,0.525,5
284,1900,9,0.525,5
285,1975,2,0.7,5
286,1975,3,0.7,5
287,1975,5,0.625,5
288,1975,7,0.475,5
289,1975,9,0.575,5
290,2050,2,0.875,5
291,2050,3,0.775,5
292,2050,5,0.575,5
293,2050,7,0.575,5
294,2050,9,0.525,5
295,2125,2,0.875,5
296,2125,3,0.7,5
297,2125,5,0.6,5
298,2125,7,0.625,5
299,2125,9,0.5,5
300,2200,2,0.85,5
301,2200,3,0.75,5
302,2200,5,0.7,5
303,2200,7,0.55,5
304,2200,9,0.55,5
305,2275,2,0.925,5
306,2275,3,0.75,5
307,2275,5,0.85,5
308,2275,7,0.45,5
309,2275,9,0.7,5
310,2350,2,0.85,5
311,2350,3,0.8,5
312,2350,5,0.7,5
313,2350,7,0.675,5
314,2350,9,0.475,5
315,2425,2,0.775,5
316,2425,3,0.6,5
317,2425,5,0.65,5
318,2425,7,0.6,5
319,2425,9,0.525,5
320,100,2,0.975,10
321,100,3,0.925,10
322,100,5,0.8,10
323,100,7,0.825,10
324,100,9,0.9,10
325,175,2,0.975,10
326,175,3,0.925,10
327,175,5,0.925,10
328,175,7,0.825,10
329,175,9,0.925,10
330,250,2,0.95,10
331,250,3,0.925,10
332,250,5,0.9,10
333,250,7,0.8,10
334,250,9,0.85,10
335,325,2,0.975,10
336,325,3,0.825,10
337,325,5,0.925,10
338,325,7,0.875,10
339,325,9,0.8,10
340,400,2,1.0,10
341,400,3,0.95,10
342,400,5,0.85,10
343,400,7,0.775,10
344,400,9,0.8,10
345,475,2,0.95,10
346,475,3,1.0,10
347,475,5,0.85,10
348,475,7,0.8,10
349,475,9,0.775,10
350,550,2,0.975,10
351,550,3,0.9,10
352,550,5,0.875,10
353,550,7,0.75,10
354,550,9,0.775,10
355,625,2,0.925,10
356,625,3,0.9,10
357,625,5,0.75,10
358,625,7,0.7,10
359,625,9,0.725,10
360,700,2,0.95,10
361,700,3,0.85,10
362,700,5,0.8,10
363,700,7,0.825,10
364,700,9,0.775,10
365,775,2,0.95,10
366,775,3,0.95,10
367,775,5,0.8,10
368,775,7,0.75,10
369,775,9,0.8,10
370,850,2,0.9,10
371,850,3,0.9,10
372,850,5,0.825,10
373,850,7,0.775,10
374,850,9,0.85,10
375,925,2,0.95,10
376,925,3,0.875,10
377,925,5,0.825,10
378,925,7,0.85,10
379,925,9,0.8,10
380,1000,2,1.0,10
381,1000,3,0.9,10
382,1000,5,0.675,10
383,1000,7,0.825,10
384,1000,9,0.75,10
385,1075,2,0.975,10
386,1075,3,0.95,10
387,1075,5,0.775,10
388,1075,7,0.725,10
389,1075,9,0.75,10
390,1150,2,0.975,10
391,1150,3,0.85,10
392,1150,5,0.825,10
393,1150,7,0.725,10
394,1150,9,0.7,10
395,1225,2,0.95,10
396,1225,3,0.825,10
397,1225,5,0.9,10
398,1225,7,0.9,10
399,1225,9,0.75,10
400,1300,2,0.95,10
401,1300,3,0.85,10
402,1300,5,0.875,10
403,1300,7,0.825,10
404,1300,9,0.725,10
405,1375,2,0.95,10
406,1375,3,0.9,10
407,1375,5,0.825,10
408,1375,7,0.65,10
409,1375,9,0.625,10
410,1450,2,0.925,10
411,1450,3,0.9,10
412,1450,5,0.8,10
413,1450,7,0.775,10
414,1450,9,0.7,10
415,1525,2,0.975,10
416,1525,3,0.925,10
417,1525,5,0.825,10
418,1525,7,0.675,10
419,1525,9,0.7,10
420,1600,2,1.0,10
421,1600,3,1.0,10
422,1600,5,0.8,10
423,1600,7,0.9,10
424,1600,9,0.8,10
425,1675,2,1.0,10
426,1675,3,0.975,10
427,1675,5,0.85,10
428,1675,7,0.675,10
429,1675,9,0.7,10
430,1750,2,1.0,10
431,1750,3,0.9,10
432,1750,5,0.7,10
433,1750,7,0.8,10
434,1750,9,0.625,10
435,1825,2,0.975,10
436,1825,3,0.875,10
437,1825,5,0.75,10
438,1825,7,0.775,10
439,1825,9,0.75,10
440,1900,2,0.975,10
441,1900,3,0.85,10
442,1900,5,0.775,10
443,1900,7,0.775,10
444,1900,9,0.65,10
445,1975,2,1.0,10
446,1975,3,0.9,10
447,1975,5,0.875,10
448,1975,7,0.8,10
449,1975,9,0.725,10
450,2050,2,0.95,10
451,2050,3,0.925,10
452,2050,5,0.9,10
453,2050,7,0.575,10
454,2050,9,0.7,10
455,2125,2,0.975,10
456,2125,3,0.875,10
457,2125,5,0.8,10
458,2125,7,0.85,10
459,2125,9,0.725,10
460,2200,2,0.975,10
461,2200,3,0.875,10
462,2200,5,0.725,10
463,2200,7,0.775,10
464,2200,9,0.75,10
465,2275,2,0.975,10
466,2275,3,0.95,10
467,2275,5,0.85,10
468,2275,7,0.7,10
469,2275,9,0.65,10
470,2350,2,0.925,10
471,2350,3,0.925,10
472,2350,5,0.825,10
473,2350,7,0.675,10
474,2350,9,0.6,10
475,2425,2,0.9,10
476,2425,3,0.825,10
477,2425,5,0.8,10
478,2425,7,0.8,10
479,2425,9,0.55,10
