,N,d,KNN,LOF,Isolation Forest,LODA,HBOS,Isolation Index
0,50,20,0.0003414154,0.0038977463,0.022889376,0.01007541,0.6697369,0.0004271
0,100,20,0.0,0.0029993851,0.036661386,0.013041099,0.0050107636,0.0016717116
0,200,20,0.00033243498,0.003706932,0.030081907,0.0134956045,0.005206585,0.0020962555
0,350,20,0.0,0.006457249,0.02607894,0.012863715,0.0050194263,0.0028719108
0,500,20,0.0,0.0064148107,0.03163433,0.015823603,0.005765041,0.0024253528
0,700,20,0.0010095438,0.009476026,0.030952772,0.018930197,0.0060249963,0.0031047661
0,1000,20,0.0,0.007129431,0.028075457,0.018870035,0.0061465898,0.0038348038
0,1500,20,0.0006745656,0.014348666,0.036138535,0.018890062,0.0070156255,0.005303556
0,2000,20,0.00033919016,0.020168543,0.030983686,0.023834387,0.007978439,0.008858466
0,2500,20,0.00033251444,0.028560162,0.03695607,0.027175426,0.008540551,0.014336369
0,3000,20,0.0,0.031390667,0.04039629,0.0299294,0.00932924,0.020652409
0,4000,20,0.0003323555,0.05093026,0.045236588,0.03612256,0.010814588,0.03222497
0,5000,20,0.0009976228,0.05403757,0.04856825,0.040028173,0.012300491,0.053791275
0,6000,20,0.00066486996,0.08080975,0.05161039,0.047634047,0.014627774,0.07540103
0,7000,20,0.00033251444,0.108980335,0.05331151,0.044841766,0.01602753,0.10350496
0,8000,20,0.0009973049,0.1537803,0.055556536,0.054341078,0.019525846,0.12909331
