,N,d,ABOD,SOD,COF,Isolation Index
0,50,20,0.53025836,1.4422115,0.010040839,0.0010051727
0,100,20,0.1510477,0.021939913,0.022174438,0.000996987
0,200,20,0.3988932,0.05700286,0.051900703,0.0009966692
0,350,20,0.57734376,0.13104677,0.081282616,0.0017789205
0,500,20,0.85161686,0.1826996,0.10258865,0.0014390945
0,700,20,1.0875896,0.39326963,0.1428299,0.003341357
0,1000,20,1.5700668,0.723088,0.2319731,0.0072923503
0,1500,20,2.3397176,1.4689919,0.44879255,0.013864517
0,2000,20,3.12124,2.5445864,0.7251912,0.025824785
0,2500,20,3.9403496,3.8574579,1.0462,0.037530024
0,3000,20,4.846934,5.5009856,1.5206989,0.05964653
0,4000,20,6.7034154,11.312965,2.8729537,0.104198776
0,5000,20,9.390095,18.639761,4.415257,0.17669065
0,6000,20,10.675903,26.646446,6.093117,0.2285424
0,7000,20,12.3956175,35.825577,16.119131,0.28654933
0,8000,20,14.141159,46.595627,20.826393,0.4032805
